query,binary euclidean prec,binary euclidean rec,binary euclidean f-measure,binary cosine prec,binary cosine rec,binary cosine f-measure,tf euclidean prec,tf euclidean rec,tf euclidean f-measure,tf cosine prec,tf cosine rec,tf cosine f-measure,tfidf euclidean prec,tfidf euclidean rec,tfidf euclidean f-measure,tfidf cosine prec,tfidf cosine rec,tfidf cosine f-measure
143,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989
144,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
145,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
146,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
147,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
149,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
152,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
153,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
154,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
156,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989
157,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
158,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
159,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
160,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
